,RECEITA,CATEGORIA,DESCRICAO_CATEGORIA,ORIGEM,DESCRICAO_ORIGEM,ESPECIE,DESCRICAO_ESPECIE,EXERCICIO,DT_APROPRIACAO,TP_RECEITA_ORC,EMPRESA,NM_EMPRESA,VL_RECEITA,"DS_FONTE,,,"
2184,1114511101020000000000,1,Receitas Correntes,1,"Impostos,Taxas e Contribuições de Melhoria",1,IMPOSTOS,2022,2022-09-21,Orçamentária,1,Prefeitura Municipal de Curitiba,3043818.99,"Demais Impostos Vinculados à Educação Básica,"
2185,1114511101020000000000,1,Receitas Correntes,1,"Impostos,Taxas e Contribuições de Melhoria",1,IMPOSTOS,2022,2022-09-21,Orçamentária,1,Prefeitura Municipal de Curitiba,7305165.61,"Recursos Ordinários (Livres),"
2776,1321010111060100000000,1,Receitas Correntes,3,Receita Patrimonial,2,VALORES MOBILIÁRIOS,2022,2022-08-31,Orçamentária,1,Prefeitura Municipal de Curitiba,-1084.41,"Fundo de Reserva Depósitos Judiciais (Lei 10819/03,art.3º),"
2777,1321010111060100000000,1,Receitas Correntes,3,Receita Patrimonial,2,VALORES MOBILIÁRIOS,2022,2022-08-31,Orçamentária,1,Prefeitura Municipal de Curitiba,-542.61,"Fundo de Reserva Depósitos Judiciais (Lei 10819/03,art.3º),"
2778,1321010111060100000000,1,Receitas Correntes,3,Receita Patrimonial,2,VALORES MOBILIÁRIOS,2022,2022-08-31,Orçamentária,1,Prefeitura Municipal de Curitiba,-542.88,"Fundo de Reserva Depósitos Judiciais (Lei 10819/03,art.3º),"
2992,1114511101020000000000,1,Receitas Correntes,1,"Impostos,Taxas e Contribuições de Melhoria",1,IMPOSTOS,2022,2022-09-21,Orçamentária,1,Prefeitura Municipal de Curitiba,4608191.86,"Recursos Ordinários (Livres),"
2993,1114511101020000000000,1,Receitas Correntes,1,"Impostos,Taxas e Contribuições de Melhoria",1,IMPOSTOS,2022,2022-09-21,Orçamentária,1,Prefeitura Municipal de Curitiba,2122390.02,"Saúde - Receitas Vinculadas (EC 29/00 - 15%),"
2994,1114511101020000000000,1,Receitas Correntes,1,"Impostos,Taxas e Contribuições de Melhoria",1,IMPOSTOS,2022,2022-09-21,Orçamentária,1,Prefeitura Municipal de Curitiba,3537316.71,"Demais Impostos Vinculados à Educação Básica,"
2995,1114511101020000000000,1,Receitas Correntes,1,"Impostos,Taxas e Contribuições de Melhoria",1,IMPOSTOS,2022,2022-09-21,Orçamentária,1,Prefeitura Municipal de Curitiba,8489560.11,"Recursos Ordinários (Livres),"
2999,1114511101020000000000,1,Receitas Correntes,1,"Impostos,Taxas e Contribuições de Melhoria",1,IMPOSTOS,2022,2022-09-21,Orçamentária,1,Prefeitura Municipal de Curitiba,4411591.27,"Saúde - Receitas Vinculadas (EC 29/00 - 15%),"
